Informacion,Latitud *,Longitud *,Departamento *,Localidad *,Dirección,Tipo_local *,Descripcion_tipo,Horario,Recoleccion
Máquina de smk receptora de envases retornables,-34.870078,-56.070669,Montevideo,Montevideo,Cno Carrasco 6955,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.895817,-56.189653,Montevideo,Montevideo,Avda Del Libertador 1895,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.865003,-56.033317,Montevideo,Montevideo,Avda De Las Americas 6000,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.9067,-56.192898,Montevideo,Montevideo,San Jose 1087,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-348867652,-56.107361,Montevideo,Montevideo,Oviedo 4723,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.907169,-56.206047,Montevideo,Montevideo,Misiones 1373,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-349084842,-561358666,Montevideo,Montevideo,Avda Luis A De Herrera 1056,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.869178,-56.208592,Montevideo,Montevideo,Avda Agraciada 3199,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.870581,-56.107078,Montevideo,Montevideo,Zum Felde 2292,Supermercado/Comercio,Tienda Inglesa,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-348905907,-56192965,Montevideo,Montevideo,Rondeau 2132,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.893636,-56.161754,Montevideo,Montevideo,Avda Italia 2484,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.898897,-56.175733,Montevideo,Montevideo,Arenal Grande 1605,Supermercado/Comercio,Tienda Inglesa,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.9103,-56.148058,Montevideo,Montevideo,Pedro Berro 1216,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.892925,-56.115858,Montevideo,Montevideo,Avda Italia 4280,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.86046,-56.232788,Montevideo,Montevideo,Jose Marmol 580,Supermercado/Comercio,Macromercado,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.867894,-56.178853,Montevideo,Montevideo,Jose Maria Penco 3275,Supermercado/Comercio,Macromercado,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.911618,-56.159714,Montevideo,Montevideo,Libertad 2477,Supermercado/Comercio,Tienda Inglesa,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
Máquina de smk receptora de envases retornables,-34.88414,-56.15129,Montevideo,Montevideo,Prof Dr. Pablo Purriel 3147,Supermercado/Comercio,Grupo Disco Uruguay,"Lunes 09:00-21:00
Martes 09:00-21:00
Miércoles 09:00-21:00
Jueves 09:00-21:00
Viernes 09:00-21:00
Sábado 09:00-21:00
Domingo 09:00-21:00",
