MUPI
Paleta pilas
Contenedor plástico
Contenedor boca ancha
MOD/CHAPA
BOL C/ ARO
MOD/REJI
GRANEL
LEV.SIN/ARO
BOLSÓN
Caja de cartón
ALUR
Recepción de paquete
