Local,Dirección,Departamento,Dirección corrregida,Latitud,Longitud,Estado
Farmacia San Roque Portones,Av Italia 5775,Montevideo ,"5775 Av Italia, Uruguay",-34.881098,-56.078894,success
Farmacia San Roque Tres Cruces,Bulevar General Artigas 1825,Montevideo ,"1825 Bulevar General Artigas, Uruguay",-34.89422,-56.166443,success
Farmacia Sangar,Avenida General Eugenio Garzon 1299,Montevideo ,"1299 Avenida General Eugenio Garzon, Uruguay",-34.823776,-56.220029,success
Farmacia Santa Bernadette,Avenida Doctor Luis Alberto de Herrera 2888,Montevideo ,"2888 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.876658,-56.157095,success
Farmacia Santa Rita,Carlos Roxlo 1365,Montevideo ,"1365 Carlos Roxlo, Uruguay",-34.90462,-56.181435,success
Farmacia Sece,China 2003,Montevideo ,"2003 China, Uruguay",-34.881381,-56.256735,success
Farmacia Seneca,Avenida General Garibaldi 2503,Montevideo ,"2503 Avenida General Jose Garibaldi, Uruguay",-34.885658,-56.164555,success
Farmacia Silleda,Avenida General Flores 3401,Montevideo ,"3401 Avenida General Flores, Uruguay",-34.865487,-56.171004,success
Farmacia Solis,Avenida Agraciada 2600,Montevideo ,"2600 Avenida Agraciada, Uruguay",-34.88409,-56.193627,success
Farmacia Stillo,MOLINOS DE RAFFO 655,Montevideo ,"655 Camino Molinos De Raffo, Uruguay",-34.845275,-56.211701,success
Farmacia Tabaré,Rio Negro 1152,Montevideo ,"1152 Río Negro, Uruguay",-34.909662,-56.193139,success
Farmacia Tacuarembo,Avenida Luis Batlle Berres 250,Montevideo ,"250 Avenida Luis Batlle Berres, Uruguay",-34.790146,-56.352621,success
Farmacia Tami,Avenida Agraciada 2992,Montevideo ,"2992 Avenida Agraciada, Uruguay",-34.875881,-56.198653,success
Farmacia Tami II,Avenida Millan 2952,Montevideo ,"2952 Avenida Millán, Uruguay",-34.872086,-56.189654,success
Farmacia Tapes,Avenida Agraciada 2802,Montevideo ,"2802 Avenida Agraciada, Uruguay",-34.879146,-56.195979,success
Farmacia Tapie,25 de Mayo 315,Montevideo ,"315 25 De Mayo, Uruguay",-34.906991,-56.20923,success
Farmacia Tejana,Jose Castro 4099,Montevideo ,"4099 Jose Castro, Uruguay",-34.869138,-56.231506,success
Farmacia Telechea,Avenida Jose Belloni 3311,Montevideo ,"3311 Avenida Jose Belloni, Uruguay",-34.846423,-56.135139,success
Farmacia Tercera Font,Colonia 1800,Montevideo ,"1800 Colonia, Uruguay",-34.901638,-56.177964,success
Farmacia Timbo,Carlos de la Vega 5143,Montevideo ,"5143 Carlos De La Vega, Uruguay",-34.846857,-56.241979,success
Farmacia Torre,Canelones 1981,Montevideo ,"1931 Canelones, Uruguay",-34.907375,-56.173697,success
Farmacia Tres,Avenida Ramon Anador 3549,Montevideo ,"3549 BIS Avenida Ramón Anador, Uruguay",-34.894318,-56.139247,success
Farmacia Trouville 3,21 de Setiembre 3074,Montevideo ,"3074 21 De Setiembre, Uruguay",-34.920183,-56.15094,success
Farmacia Trouville 4,Tomas Diago 854,Montevideo ,"2948 21 De Setiembre, Uruguay",-34.919611,-56.153415,success
Farmacia Trouville 6,Jose Ellauri 868,Montevideo ,"868 José Ellauri, Uruguay",-34.914799,-56.153457,success
Farmacia Tundisi,Avenida General Rondeau 1404,Montevideo ,"1404 Avenida General Rondeau, Uruguay",-34.904796,-56.191407,success
Farmacia Tundisi-Obeliso,Avenida 18 de Julio 2251,Montevideo ,"2251,2257,2259,2261 Avenida 18 de Julio, Uruguay",-34.898185,-56.166747,success
Farmacia Universal,Calle Doctor Juan Jose de Amezaga 2106,Montevideo ,"2106 Doctor Juan Jose De Amezaga, Uruguay",-34.884592,-56.172299,success
Farmacia Uruguaya II,Camino Carrasco 4680,Montevideo ,"4680 Camino Carrasco, Uruguay",-34.873706,-56.119936,success
Farmacia UruguayGaboto,Avenida Uruguay 1751,Montevideo ,"1751 Avenida Uruguay, Uruguay",-34.90032,-56.179905,success
Farmacia Vanguardia,Francisco Bilbao 3800,Montevideo ,"3800 Francisco Bilbao, Uruguay",-34.90038,-56.1312,success
Farmacia Vicor,Avenida General Rivera 1942,Montevideo ,"1942 Avenida General Rivera, Uruguay",-34.902297,-56.174015,success
Farmacia Victoria,Fraternidad 4152,Montevideo ,"4152 Fraternidad, Uruguay",-34.860997,-56.223571,success
Farmacia Viva,Camino Carrasco 5317,Montevideo ,"5317 Camino Carrasco, Uruguay",-34.871691,-56.101766,success
Farmacia Washington,Constituyente 1789,Montevideo ,"1789 Constituyente, Uruguay",-34.906513,-56.17771,success
Farmacia Yaro,Maldonado 1801,Montevideo ,"1801 Maldonado, Uruguay",-34.908461,-56.175979,success
Farmacia Zeus,Avenida General Flores 2654,Montevideo ,"2654 Avenida General Flores, Uruguay",-34.878921,-56.180716,success
Farmacia Zipitria,Avenida 8 de Octubre 4701,Montevideo ,"4701 Avenida 8 de Octubre, Uruguay",-34.85797,-56.133874,success
Farmanuario,Francisco Soca 1562,Montevideo ,"1562 Avenida Doctor Francisco Soca, Uruguay",-34.899726,-56.157253,success
Farmashop N°1,Camino Ariel 4626,Montevideo ,"4626 Camino Ariel, Uruguay",-34.836309,-56.211793,success
Farmashop N°10,San Martín 3083 ,Montevideo ,"3083 Avenida General San Martín, Uruguay",-34.869607,-56.182483,success
Farmashop N°11/OM,Luís A. de Herrera 2368,Montevideo ,"2368 Avenida Doctor Luis Alberto De Herrera, Uruguay",-34.885081,-56.150058,success
Farmashop N°12,Juan Benito Blanco 1098,Montevideo ,"1098 Juan Benito Blanco, Uruguay",-34.912011,-56.147042,success
Farmashop N°13,Scosería 2635,Montevideo ,"2635 Doctor Jose Scoseria, Uruguay",-34.915082,-56.155315,success
Farmashop N°14,Enrique Legrand 5085 ,Montevideo ,"5085 Avenida Enrique Legrand, Uruguay",-34.889387,-56.098626,success
Farmashop N°15,21 de Setiembre 2867 ,Montevideo ,"2867 21 De Setiembre, Uruguay",-34.919032,-56.155218,success
Farmashop N°16,Arocena 1657,Montevideo ,"1657 Avenida Alfredo Arocena, Uruguay",-34.887339,-56.058346,success
Farmashop N°18,José Ellauri 1084 ,Montevideo ,"1084BIS Jose Ellauri, Uruguay",-34.911166,-56.152542,success
Farmashop N°19,Almería 4701 ,Montevideo ,"4701 Almeria, Uruguay",-34.894477,-56.107599,success
Farmashop N°20,Av. Italia 2490,Montevideo ,"2490 Av Italia, Uruguay",-34.893686,-56.161582,success
Farmashop N°21,Colonia 903,Montevideo ,"903 Colonia, Uruguay",-34.905256,-56.196897,success
Farmashop N°22,Luis Franzini 806 ,Montevideo ,"806 Luis Franzini, Uruguay",-34.916195,-56.158513,success
Farmashop N°23,Agraciada 4269 ,Montevideo ,"4269 Avenida Agraciada, Uruguay",-34.855808,-56.220994,success
Farmashop N°24,21 de Setiembre 2459 ,Montevideo ,"2459 21 De Setiembre, Uruguay",-34.913435,-56.162083,success
Farmashop N°25,Av. Rivera 4240 ,Montevideo ,"4240,4250 Avenida General Rivera, Uruguay",-34.89602,-56.121799,success
Farmashop N°26,Bvar. España 2856,Montevideo ,"2856 Bulevar España, Uruguay",-34.914729,-56.151425,success
Farmashop N°27,Garzón 1925,Montevideo ,"1925 Avenida General Eugenio Garzon, Uruguay",-34.805553,-56.222528,success
Farmashop N°28,8 de Octubre 3268 ,Montevideo ,"3268 Avenida 8 de Octubre, Uruguay",-34.880757,-56.150094,success
Farmashop N°29,8 de Octubre 3749,Montevideo ,"3745,3749 Avenida 8 de Octubre, Uruguay",-34.87511,-56.140899,success
